notes
"2022-06-01 00:32:08 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:86373"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-01 00:22:33 - Sugandhipriya Rangaswamy (Work notes)
Out of scope for Service Desk. Hence assigning it to the concerned team.

"
"2022-06-01 00:27:08 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:85202"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-01 00:22:33 - Sugandhipriya Rangaswamy (Work notes)
Out of scope for Service Desk. Hence assigning it to the concerned team.

"
"2022-06-01 00:53:18 - Sugandhipriya Rangaswamy (Work notes)
Out of scope for Service Desk. Hence assigning it to the concerned team.

"
"2022-06-01 01:56:44 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:92564"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-01 01:12:14 - Sugandhipriya Rangaswamy (Work notes)
Out of scope for Service Desk. Hence assigning it to the concerned team.

"
"2022-06-01 02:44:40 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:95197"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-01 02:23:58 - Sugandhipriya Rangaswamy (Work notes)
Out of scope for Service Desk. Hence assigning it to the concerned team.

"
"2022-06-01 02:37:41 - Sugandhipriya Rangaswamy (Work notes)
Out of scope for Service Desk. Hence assigning it to the concerned team.

"
"2022-06-01 02:43:36 - Sugandhipriya Rangaswamy (Work notes)
Out of scope for Service Desk. Hence assigning it to the concerned team.

"
"2022-06-01 03:26:51 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:92564"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-01 03:18:22 - Sujan Kumar (Work notes)
Mail sent to Advantix

"
"2022-06-01 04:12:54 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:92564"" target=""_blank"">Orion Alert Details</a>[/code]

"
"2022-06-01 04:07:03 - Sujan Kumar (Work notes)
Out of  Service Desk scope. Hence, Assigning to concern team.

"
