Region,Category,Country,Group,Summary,TSC,Date,Type,Cleaned_Column,Lemmatized_Column,Final_cleaned
AM,Windows / OS,United States,Deskside,User is trying to set up her  headset but is receiving an error,Y,26-09-2022,Incident,user is trying to set up her  headset but is re,user be try to set up her   headset but be re,
AM,Laptop,United States,Deskside,Hardware Issue - Laptop issues.,Y,28-09-2022,Incident,                   hardware issue  laptop issues,                    hardware issue   laptop issue,hardware issue laptop issue
AM,,United States,Deskside,JLL Adobe Acrobat Pro DC  install,Y,28-09-2022,Incident,                 jll adobe acrobat pro dc  install,                  jll adobe acrobat pro dc   install,jll adobe acrobat pro dc install
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Blue Screen.,Y,27-09-2022,Incident,              hardware issue  laptop blue screen,               hardware issue   laptop blue screen,hardware issue laptop blue screen
AM,,United States,Deskside,Software - Transfer files from Hard Drive to Sharepoint.,Y,29-09-2022,Incident,software  transfer files from hard drive to sh,software   transfer file from hard drive to sh,hard drive
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Issues.,Y,28-09-2022,Incident,                   hardware issue  laptop issues,                    hardware issue   laptop issue,hardware issue laptop issue
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Battery Issues.,Y,03-10-2022,Incident,           hardware issue  laptop battery issues,            hardware issue   laptop battery issue,hardware issue laptop battery issue
AM,,United States,Deskside,BAC - Client Portal Compliance Checking at Login,Y,28-09-2022,Incident,  bac  client portal compliance checking at login,   bac   client portal compliance check at login,bac client portal compliance check
AM,Laptop,United States,Deskside,"Hardware Issue - Laptop stuck at blue screen that says ""Please Wait""",Y,27-09-2022,Incident,hardware issue  laptop stuck at blue screen th,hardware issue   laptop stick at blue screen th,hardware issue laptop blue screen th
AM,Laptop,Canada,Deskside,Hardware Issue - Laptop Battery Issues.,Y,28-09-2022,Incident,           hardware issue  laptop battery issues,            hardware issue   laptop battery issue,hardware issue laptop battery issue
AM,Intune,United States,Deskside,Application Issue - Intune - Mail/Contacts not syncing,Y,26-09-2022,Incident,application issue  intune  mailcontacts not ,application issue   intune   mailcontact not,application issue intune mailcontact
AM,,United States,Deskside,Adobe - Installation Issues,Y,26-09-2022,Incident,                       adobe  installation issues,                        adobe   installation issue,adobe installation issue
AM,,United States,Deskside,Reported Issue - Application - BNA,Y,28-09-2022,Incident,                reported issue  application  bna,                 report issue   application   bna,report issue application bna
