summary
Critical ALERT:  A Baseline Services_Windows component  on XA6506 is in a current state of: Down
Critical ALERT:  A Baseline Services_Windows component  on XA6530 is in a current state of: Down
ALERT: DISK SPACE on XA6501-C:\ Label: 88E6AF70 has currently 9 % is available
TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down
Alert: CPU Utilization on wdiprd-cml01.haasgroupintl.com is Critical
Warning Alert: Memory Utilization on GBVCLSQ2-PRESS is : 95 %
Warning Alert: Memory Utilization on GBVVSSQ8 is : 95 %
TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down
TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down
Critical Alert: Memory Utilization on XALIC01 is : 99 %
Alert: CPU Utilization on AUS-BI02 is Warning	
Alert: CPU Utilization on GBVVSDS0 is Warning	
Critical ALERT:  A Microsoft IIS component  on AUS-GHS01 is in a current state of: Down
Alert: CPU Utilization on GBVVSWW7 is Critical	
Warning Alert: Memory Utilization on gbdvssq0 is : 97 %
Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB08 is in a current state of: Critical
Alert: Memory Utilization on tcmprd-haasr02.tcmis.com is warning
Warning Alert: Memory Utilization on CAV-SQLDW04 is : 94 %
Alert: CPU Utilization on AUS-BI02 is Critical	
Warning Alert: Memory Utilization on GBVVSCL3 is : 94 %
Alert: CPU Utilization on aus-esx17.haasgroupintl.com is Critical	
Alert: CPU Utilization on tcmdev-ora01 is Critical
Alert: CPU Utilization in GJDEWEB08 is Critical	
ALERT: DISK SPACE on XA6506-C:\ Label: 88E6AF70 has currently 20 % is available
Alert: CPU Utilization on AUS-BIPRD-PUB02 is Critical	
Critical Alert: Memory Utilization on GBVVSMS4 is : 99 %
Warning Alert: Memory Utilization on GBVVSFS3 is : 94 %
Warning Alert: Memory Utilization on GBVVSMS4 is : 95 %
Alert: CPU Utilization on GJDEWEB08 is Critical
Warning Alert: Memory Utilization on GBVVSSQ6 is : 94 %
Warning Alert: Memory Utilization on GBVVSSQ6 is : 94 %
Alert: Memory Utilization on XNETWEB03 is in Warning
Warning Alert: Memory Utilization on GBVVSSQ10 is : 94 %
ALERT: DISK SPACE on XA6508-C:\ Label: 88E6AF70 has currently 20 % is available
Alert: CPU Utilization on TXAUS-DC01 is Critical	
ALERT: DISK SPACE on XA6509-C:\ Label: 88E6AF70 has currently 20 % is available
ALERT: DISK SPACE on XA6514-C:\ Label: 88E6AF70 has currently 19 % is available
ALERT: DISK SPACE on XA6529-C:\ Label: 88E6AF70 has currently 20 % is available
ALERT: DISK SPACE on XA6505-C:\ Label: 88E6AF70 has currently 20 % is available
Alert: CPU Utilization in GJDEWEB01 is Warning	
Alert: CPU Utilization on AUS-MCL01 is Warning	
Alert: CPU Utilization on AUS-MCL01 is Warning	
ALERT: DISK SPACE on XA6523-C:\ Label: 88E6AF70 has currently 20 % is available
ALERT: DISK SPACE on XA6516-C:\ Label: 88E6AF70 has currently 20 % is available
TIER 3 - Critical Device Down: US-THR-891-AAX-R01.wescoaircraft.com is Down
ALERT: DISK SPACE on XA6525-C:\ Label: 88E6AF70 has currently 20 % is available
ALERT: DISK SPACE on GBVVSDV1-E:\ Label:DATA 301C627F has currently 13 % is available
TIER 3 - Critical Device Down: US-SLC-891-NOC-R01.wescoaircraft.com is Down
"GROUP ALERT: Group is Down - Network Team Tickets: Tier3 - NG: Salt Lake City - AMER - 2211 West North Temple, Salt Lake City, UT 84116, USA"
Warning Alert: Memory Utilization on USAZSCCMCAS01 is : 94 %
ALERT:  A ADC _sabrix _URL _monitoring component  on ws1.tcmis.com is Down
TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down
Alert: CPU Utilization in GJDEWEB04 is Critical	
Critical ALERT:  A Baseline Services_Windows component  on VALJDELOG03 is in a current state of: Down
Critical ALERT:  A Baseline Services_Windows component  on CAMI-RODC01 is in a current state of: Down
Critical ALERT:  A Baseline Services_Windows component  on DC03PAPRC01 is in a current state of: Down
Critical ALERT:  A Baseline Services_Windows component  on CAV-CMDR01 is in a current state of: Down
Critical ALERT:  A Baseline Services_Windows component  on G-TRAXPRODWEB3 is in a current state of: Down
Critical ALERT:  A Baseline Services_Windows component  on ALFO-RODC01 is in a current state of: Down
Critical ALERT:  A Baseline Services_Windows component  on AUS-ORIONHA01 is in a current state of: Down
Critical ALERT:  A Baseline Services_Windows component  on G-SCCM01 is in a current state of: Down
Critical ALERT:  A Baseline Services_Windows component  on AUS-AP-FB01 is in a current state of: Down
Critical ALERT:  A Baseline Services_Windows component  on TXAU-FBRDP01 is in a current state of: Down
Critical ALERT:  A Baseline Services_Windows component  on txfw-dc03 is in a current state of: Down
Critical ALERT:  A Baseline Services_Windows component  on TXAU-SQL19-N2 is in a current state of: Down
Critical ALERT:  A Baseline Services_Windows component  on GJDEOHS02 is in a current state of: Down
Critical ALERT:  A Baseline Services_Windows component  on VALSIGVM02 is in a current state of: Down
Critical ALERT:  A Baseline Services_Windows component  on AUS-DRSC is in a current state of: Down
Critical ALERT:  A Baseline Services_Windows component  on TXAU-FB01 is in a current state of: Down
Critical ALERT:  A Baseline Services_Windows component  on AUSTX-Datamatic is in a current state of: Down
Critical ALERT:  A Baseline Services_Windows component  on SHARESCANSERVER is in a current state of: Down
Critical ALERT:  A Baseline Services_Windows component  on ITMAFILE is in a current state of: Down
Warning Alert: Memory Utilization on VALDC01 is : 94 %
Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB07 is in a current state of: Critical
Alert: CPU Utilization on GJDEWEB04 is Critical
Alert: CPU Utilization in GJDEWEB07 is Critical	
Alert: CPU Utilization on tcmqa03-ws01.tcmis.com is Critical
Alert: Memory Utilization on tcmprd-ws07.tcmis.com is warning
 NODE ALERT: ITEST2.WESCOHQ.COM is Down
Alert: CPU Utilization on GJDEWEB07 is Critical
 NODE ALERT: VALJDELOG01 has rebooted
TIER 3 - Critical Device Down: CN-HAN-C1111-R01.wescoaircraft.com is Down
ALERT:  A M5 Monitoring Tomcat component  on tcmprd-ws07.tcmis.com is Down
 NODE ALERT: DEVJDEJAS2 has rebooted
 NODE ALERT: AUSOFF-FILE01 is Down
Critical ALERT:  A TCMIS services 2.0 component  on tcmprd-ws07.tcmis.com is Down
 NODE ALERT: yokneam-wds is Down
 NODE ALERT: YOKNEAM-DC01 is Down
 NODE ALERT: YOKNEAM-FILE01 is Down
ESX ALERT: yokneam-esx01.haasgroupintl.com is Down
Warning Alert: Memory Utilization on SGSVSFS1 is : 97 %
Critical ALERT:  A Distributed File System (DFS) component  on AUS-DFS01 is in a current state of: Down
Warning ALERT:  SQL Components component  on gbdvssq0 shows Warning
 NODE ALERT: INBA-DC1 is Down
Alert: CPU Utilization on G-OPTIOPD is Warning	
Alert: CPU Utilization on tcmdev-ora01 is Warning
ALERT: DISK SPACE on AUS-VEEAM-CON01-C:\ Label: DAE3F737 has currently 14 % is available
Warning Alert: Memory Utilization on GBVVSSQ10 is : 95 %
Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB01 is in a current state of: Critical
Warning Alert: Memory Utilization on ECOMDEVWEBVS01 is : 94 %
 NODE ALERT: GJDEWEB04 has rebooted
Alert: CPU Utilization in GJDEWEB01 is Critical	
Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB04 is in a current state of: Down
 NODE ALERT: GJDEWEB07 has rebooted
