s,c,Cleaned_Column
ALERT: DISK SPACE on XA6505-C:\ Label: 88E6AF70 has currently 20 % is available,alert disk space on xa6505c label 88e6af70 has currently 20  is available,alert disk space on xa6505c label 88e6af70 has currently 20  is available
Alert: CPU Utilization in GJDEWEB01 is Warning	,alert cpu utilization in gjdeweb01 is warning	,alert cpu utilization in gjdeweb01 is warning	
Alert: CPU Utilization on AUS-MCL01 is Warning	,alert cpu utilization on ausmcl01 is warning	,alert cpu utilization on ausmcl01 is warning	
Alert: CPU Utilization on AUS-MCL01 is Warning	,alert cpu utilization on ausmcl01 is warning	,alert cpu utilization on ausmcl01 is warning	
ALERT: DISK SPACE on XA6523-C:\ Label: 88E6AF70 has currently 20 % is available,alert disk space on xa6523c label 88e6af70 has currently 20  is available,alert disk space on xa6523c label 88e6af70 has currently 20  is available
ALERT: DISK SPACE on XA6516-C:\ Label: 88E6AF70 has currently 20 % is available,alert disk space on xa6516c label 88e6af70 has currently 20  is available,alert disk space on xa6516c label 88e6af70 has currently 20  is available
TIER 3 - Critical Device Down: US-THR-891-AAX-R01.wescoaircraft.com is Down,tier 3  critical device down usthr891aaxr01wescoaircraftcom is down,tier 3  critical device down usthr891aaxr01wescoaircraftcom is down
ALERT: DISK SPACE on XA6525-C:\ Label: 88E6AF70 has currently 20 % is available,alert disk space on xa6525c label 88e6af70 has currently 20  is available,alert disk space on xa6525c label 88e6af70 has currently 20  is available
ALERT: DISK SPACE on GBVVSDV1-E:\ Label:DATA 301C627F has currently 13 % is available,alert disk space on gbvvsdv1e labeldata 301c627f has currently 13  is available,alert disk space on gbvvsdv1e labeldata 301c627f has currently 13  is available
TIER 3 - Critical Device Down: US-SLC-891-NOC-R01.wescoaircraft.com is Down,tier 3  critical device down usslc891nocr01wescoaircraftcom is down,tier 3  critical device down usslc891nocr01wescoaircraftcom is down
"GROUP ALERT: Group is Down - Network Team Tickets: Tier3 - NG: Salt Lake City - AMER - 2211 West North Temple, Salt Lake City, UT 84116, USA",group alert group is down  network team tickets tier3  ng salt lake city  amer  2211 west north temple salt lake city ut 84116 usa,group alert group is down  network team tickets tier3  ng salt lake city  amer  2211 west north temple salt lake city ut 84116 usa
Warning Alert: Memory Utilization on USAZSCCMCAS01 is : 94 %,warning alert memory utilization on usazsccmcas01 is  94 ,warning alert memory utilization on usazsccmcas01 is  94 
ALERT:  A ADC _sabrix _URL _monitoring component  on ws1.tcmis.com is Down,alert  a adc _sabrix _url _monitoring component  on ws1tcmiscom is down,alert  a adc _sabrix _url _monitoring component  on ws1tcmiscom is down
TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down,tier 3  critical device down frtartz300f01 is down,tier 3  critical device down frtartz300f01 is down
Alert: CPU Utilization in GJDEWEB04 is Critical	,alert cpu utilization in gjdeweb04 is critical	,alert cpu utilization in gjdeweb04 is critical	
Critical ALERT:  A Baseline Services_Windows component  on VALJDELOG03 is in a current state of: Down,critical alert  a baseline services_windows component  on valjdelog03 is in a current state of down,critical alert  a baseline services_windows component  on valjdelog03 is in a current state of down
