sum,Cleaned_Column
Critical ALERT:  A Baseline Services_Windows component  on ITMAFILE is in a current state of: Down,critical alert  a baseline services_windows component  on itmafile is in a current state of down
Warning Alert: Memory Utilization on VALDC01 is : 94 %,warning alert memory utilization on  is   
Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB07 is in a current state of: Critical,critical alert  a jde_webserver_services component  on  is in a current state of critical
Alert: CPU Utilization on GJDEWEB04 is Critical,alert cpu utilization on  is critical
Alert: CPU Utilization in GJDEWEB07 is Critical	,alert cpu utilization in  is critical	
Alert: CPU Utilization on tcmqa03-ws01.tcmis.com is Critical,alert cpu utilization on  is critical
Alert: Memory Utilization on tcmprd-ws07.tcmis.com is warning,alert memory utilization on  is warning
 NODE ALERT: ITEST2.WESCOHQ.COM is Down, node alert  is down
Alert: CPU Utilization on GJDEWEB07 is Critical,alert cpu utilization on  is critical
 NODE ALERT: VALJDELOG01 has rebooted, node alert  has rebooted
TIER 3 - Critical Device Down: CN-HAN-C1111-R01.wescoaircraft.com is Down,tier   critical device down  is down
ALERT:  A M5 Monitoring Tomcat component  on tcmprd-ws07.tcmis.com is Down,alert  a  monitoring tomcat component  on  is down
 NODE ALERT: DEVJDEJAS2 has rebooted, node alert  has rebooted
 NODE ALERT: AUSOFF-FILE01 is Down, node alert  is down
Critical ALERT:  A TCMIS services 2.0 component  on tcmprd-ws07.tcmis.com is Down,critical alert  a tcmis services  component  on  is down
 NODE ALERT: yokneam-wds is Down, node alert yokneamwds is down
 NODE ALERT: YOKNEAM-DC01 is Down, node alert  is down
 NODE ALERT: YOKNEAM-FILE01 is Down, node alert  is down
ESX ALERT: yokneam-esx01.haasgroupintl.com is Down,esx alert  is down
Warning Alert: Memory Utilization on SGSVSFS1 is : 97 %,warning alert memory utilization on  is   
Critical ALERT:  A Distributed File System (DFS) component  on AUS-DFS01 is in a current state of: Down,critical alert  a distributed file system dfs component  on  is in a current state of down
Warning ALERT:  SQL Components component  on gbdvssq0 shows Warning,warning alert  sql components component  on  shows warning
 NODE ALERT: INBA-DC1 is Down, node alert  is down
Alert: CPU Utilization on G-OPTIOPD is Warning	,alert cpu utilization on goptiopd is warning	
Alert: CPU Utilization on tcmdev-ora01 is Warning,alert cpu utilization on  is warning
ALERT: DISK SPACE on AUS-VEEAM-CON01-C:\ Label: DAE3F737 has currently 14 % is available,alert disk space on  label  has currently   is available
Warning Alert: Memory Utilization on GBVVSSQ10 is : 95 %,warning alert memory utilization on  is   
Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB01 is in a current state of: Critical,critical alert  a jde_webserver_services component  on  is in a current state of critical
Warning Alert: Memory Utilization on ECOMDEVWEBVS01 is : 94 %,warning alert memory utilization on  is   
 NODE ALERT: GJDEWEB04 has rebooted, node alert  has rebooted
Alert: CPU Utilization in GJDEWEB01 is Critical	,alert cpu utilization in  is critical	
Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB04 is in a current state of: Down,critical alert  a jde_webserver_services component  on  is in a current state of down
 NODE ALERT: GJDEWEB07 has rebooted, node alert  has rebooted
"Group Alert: Network Team Tickets: WAP - West Chester - AMER - 1475 Phoenixvil?le Pike Suite 100, West Chester, PA 19380, USA Down",group alert network team tickets wap  west chester  amer   phoenixville pike suite  west chester pa  usa down
Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB07 is in a current state of: Down,critical alert  a jde_webserver_services component  on  is in a current state of down
TIER 3 - Critical Device Down: US-GOL-891-RAY-R01.wescoaircraft.com is Down,tier   critical device down  is down
 NODE ALERT: GJDEWEB08 has rebooted, node alert  has rebooted
Critical ALERT:  A Microsoft IIS component  on G-MOVEITT1 is in a current state of: Down,critical alert  a microsoft iis component  on  is in a current state of down
Alert: CPU Utilization on aus-esx17.haasgroupintl.com is Warning	,alert cpu utilization on  is warning	
Alert: Memory Utilization on tcmprd-haasr05.tcmis.com is warning,alert memory utilization on  is warning
NODE Down ALERT: XA6501 is Down,node down alert  is down
NODE Down ALERT: XA6540 is Down,node down alert  is down
Warning Alert: Memory Utilization on GBVFSMO0 is : 94 %,warning alert memory utilization on  is   
Alert: CPU Utilization on GJDEWEB01 is Critical,alert cpu utilization on  is critical
 NODE ALERT: GJDEWEB01 has rebooted, node alert  has rebooted
Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB01 is in a current state of: Down,critical alert  a jde_webserver_services component  on  is in a current state of down
Critical ALERT:  A Baseline Services_Windows component  on GJDEWEB01 is in a current state of: Down,critical alert  a baseline services_windows component  on  is in a current state of down
ALERT: DISK SPACE on XA6517-C:\ Label: 88E6AF70 has currently 19 % is available,alert disk space on  label  has currently   is available
Alert: CPU Utilization on wdiprd-cml01.haasgroupintl.com is Critical,alert cpu utilization on  is critical
Alert: CPU Utilization on G-OPTIOPD is Critical	,alert cpu utilization on goptiopd is critical	
TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down,tier   critical device down  is down
Critical ALERT:  A Microsoft IIS component  on G-MOVEITT1 is in a current state of: Down,critical alert  a microsoft iis component  on  is in a current state of down
ALERT: DISK SPACE on XA6521-C:\ Label: 88E6AF70 has currently 17 % is available,alert disk space on  label  has currently   is available
Critical Alert: Memory Utilization on GBVVSMS4 is : 99 %,critical alert memory utilization on  is   
TIER 3 - Critical Device Down: IN-BAN-2960S-S01.wescoaircraft.com is Down,tier   critical device down  is down
TIER 3 - Critical Device Down: IN-BAN-2921-R01.wescoaircraft.com is Down,tier   critical device down  is down
Warning Alert: Memory Utilization on GBVVSMS4 is : 95 %,warning alert memory utilization on  is   
Alert: Memory Utilization on infdemo-ora01 is in Critical,alert memory utilization on  is in critical
Alert: CPU Utilization on AUS-BI02 is Critical	,alert cpu utilization on  is critical	
Alert: Memory Utilization on tcmprd-ws05.tcmis.com is warning,alert memory utilization on  is warning
ALERT: DISK SPACE on TXAU-SQL1902-G:\ Label:Backups 941DA743 has currently 14 % is available,alert disk space on  labelbackups  has currently   is available
Warning Alert: Memory Utilization on GBVVSCL3 is : 94 %,warning alert memory utilization on  is   
Alert: CPU Utilization on aus-esx13.haasgroupintl.com is Warning	,alert cpu utilization on  is warning	
Warning Alert: Memory Utilization on GBVVSHR0 is : 94 %,warning alert memory utilization on  is   
Alert: Memory Utilization on tcmprd-haasr02.tcmis.com is warning,alert memory utilization on  is warning
Warning Alert: Memory Utilization on GBDVSMS0 is : 96 %,warning alert memory utilization on  is   
 NODE ALERT: GBVVSFS3 is Down, node alert  is down
Alert: Memory Utilization on infdemo-ora01 is in Critical,alert memory utilization on  is in critical
Alert: CPU Utilization on usauitadmust01 is Critical	,alert cpu utilization on  is critical	
Alert: Memory Utilization on GJDEWEB01 is in warning,alert memory utilization on  is in warning
Alert: CPU Utilization on AUS-MCL01 is Warning	,alert cpu utilization on  is warning	
Alert: Memory Utilization on tcmprd-haasr05.tcmis.com is warning,alert memory utilization on  is warning
Alert: Memory Utilization on tcmdev-ws01.tcmis.com is warning,alert memory utilization on  is warning
ALERT: DISK SPACE on XA6530-C:\ Label: 88E6AF70 has currently 20 % is available,alert disk space on  label  has currently   is available
Alert: CPU Utilization on AUS-BI02 is Warning	,alert cpu utilization on  is warning	
Critical ALERT:  A Microsoft IIS component  on G-MOVEITT1 is in a current state of: Down,critical alert  a microsoft iis component  on  is in a current state of down
ALERT: DISK SPACE on XA6516-C:\ Label: 88E6AF70 has currently 20 % is available,alert disk space on  label  has currently   is available
Alert: CPU Utilization on AUS-ADMT01 is Critical	,alert cpu utilization on  is critical	
Alert: Memory Utilization on tcmprd-haasr06.tcmis.com is warning,alert memory utilization on  is warning
ALERT: Disk utilization on tcmtm-ws01.haasgroupintl.com is Warning,alert disk utilization on  is warning
ALERT: DISK SPACE on XA6526-C:\ Label: 88E6AF70 has currently 20 % is available,alert disk space on  label  has currently   is available
ALERT: DISK SPACE on XA6511-C:\ Label: 88E6AF70 has currently 19 % is available,alert disk space on  label  has currently   is available
ALERT:  A M5 Monitoring Tomcat component  on tcmprd-ws05.tcmis.com is Down,alert  a  monitoring tomcat component  on  is down
Alert: Memory Utilization on apexprd-wlogic01.haasgroupintl.com is warning,alert memory utilization on  is warning
Alert: CPU Utilization on ADAVIIS01 is Critical	,alert cpu utilization on  is critical	
Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB05 is in a current state of: Critical,critical alert  a jde_webserver_services component  on  is in a current state of critical
Critical ALERT:  A Microsoft IIS component  on G-MOVEITT1 is in a current state of: Down,critical alert  a microsoft iis component  on  is in a current state of down
Alert: CPU Utilization in GJDEWEB05 is Critical	,alert cpu utilization in  is critical	
Warning ALERT:  SQL Components component  on GBDVSMS0 shows Warning,warning alert  sql components component  on  shows warning
Warning Alert: Memory Utilization on VALDC01 is : 94 %,warning alert memory utilization on  is   
Alert: CPU Utilization on GJDEWEB05 is Critical,alert cpu utilization on  is critical
ALERT: Disk utilization on tcmtm03-ws01.haasgroupintl.com is Warning,alert disk utilization on  is warning
TIER 1 - CRITICAL ALERT: MX-CHI2-4351-R01.wescoaircraft.com is Down,tier   critical alert  is down
TIER 1 - CRITICAL ALERT: WAN Interface Unreachable on MX-CHI2-4351-R01.wescoaircraft.com,tier   critical alert wan interface unreachable on 
TIER 1 - CRITICAL ALERT: WAN Interface Unreachable on MX-CHI2-4351-R01.wescoaircraft.com,tier   critical alert wan interface unreachable on 
ESX ALERT: MXCH-ESX02.wescohq.com is Down,esx alert  is down
ESX ALERT: MXCH-ESX01.wescohq.com is Down,esx alert  is down
 NODE ALERT: CHIHUAHUA-DC01 is Down, node alert  is down
 NODE ALERT: MXCH-FILE01 is Down, node alert  is down
 NODE ALERT: MXCVSDC0 is Down, node alert  is down
 NODE ALERT: MXCH-DC01 is Down, node alert  is down
TIER 1 - CRITICAL ALERT: WAN OUTAGE 12 on MX-CHI2-4351-R02.wescoaircraft.com,tier   critical alert wan outage  on 
TIER 1 - CRITICAL ALERT: WAN OUTAGE 12 on MX-CHI2-4351-R02.wescoaircraft.com,tier   critical alert wan outage  on 
Alert: CPU Utilization in GJDEWEB03 is Warning	,alert cpu utilization in  is warning	
Warning Alert: Memory Utilization on VALDC01 is : 96 %,warning alert memory utilization on  is   
Alert: CPU Utilization on GBVVSML0 is Critical	,alert cpu utilization on  is critical	
TIER 1 - CRITICAL ALERT: MX-CHI2-9300-MDF-S01.wescoaircraft.com is Down,tier   critical alert  is down
TIER 1 - CRITICAL ALERT: WAN OUTAGE 12 on MX-CHI2-4351-R01.wescoaircraft.com,tier   critical alert wan outage  on 
TIER 1 - CRITICAL ALERT: WAN OUTAGE 12 on MX-CHI2-4351-R01.wescoaircraft.com,tier   critical alert wan outage  on 
Alert: CPU Utilization on usauitadmust01 is Critical	,alert cpu utilization on  is critical	
Alert: CPU Utilization in GJDEWEB08 is Critical	,alert cpu utilization in  is critical	
Warning Alert: Memory Utilization on USAZSCCMCAS01 is : 96 %,warning alert memory utilization on  is   
TIER 1 - CRITICAL ALERT: MX-CHI2-2960X-MDF-S01.wescoaircraft.com is Down,tier   critical alert  is down
TIER 1 - CRITICAL ALERT: MX-CHI2-2960X-MDF-S02.wescoaircraft.com is Down,tier   critical alert  is down
Warning Alert: Memory Utilization on GBVFSMO0 is : 94 %,warning alert memory utilization on  is   
Alert: CPU Utilization on G-OPTIOPD is Warning	,alert cpu utilization on goptiopd is warning	
Alert: CPU Utilization in GJDEWEB03 is Critical	,alert cpu utilization in  is critical	
Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB03 is in a current state of: Critical,critical alert  a jde_webserver_services component  on  is in a current state of critical
Alert: CPU Utilization on GJDEWEB03 is Critical,alert cpu utilization on  is critical
Critical ALERT:  A Distributed File System (DFS) component  on LON-DFS01 is in a current state of: Down,critical alert  a distributed file system dfs component  on  is in a current state of down
 NODE ALERT: ITEST2.WESCOHQ.COM is Down, node alert  is down
TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down,tier   critical device down  is down
 NODE ALERT: VALJDELOG01 has rebooted, node alert  has rebooted
 NODE ALERT: DEVJDEJAS2 has rebooted, node alert  has rebooted
Alert: Memory Utilization on apexprd-ora01.haasgroupintl.com is warning,alert memory utilization on  is warning
Warning Alert: Memory Utilization on GBVVSSQ10 is : 94 %,warning alert memory utilization on  is   
ALERT: DISK SPACE on AUS-VEEAM-CON01-C:\ Label: DAE3F737 has currently 15 % is available,alert disk space on  label  has currently   is available
Alert: CPU Utilization on G-OPTIOPD is Critical	,alert cpu utilization on goptiopd is critical	
 NODE ALERT: GJDEWEB03 has rebooted, node alert  has rebooted
 NODE ALERT: GJDEWEB05 has rebooted, node alert  has rebooted
Alert: CPU Utilization on tcmdev-ora01 is Critical,alert cpu utilization on  is critical
 NODE ALERT: GJDEWEB08 has rebooted, node alert  has rebooted
Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB08 is in a current state of: Down,critical alert  a jde_webserver_services component  on  is in a current state of down
TIER 3 - Critical Device Down: US-LAR-C1111-R01.wescoaircraft.com is Down,tier   critical device down  is down
NODE Down ALERT: XA6501 is Down,node down alert  is down
ALERT: DISK SPACE on XALIC01-C:\ Label: DC7DA563 has currently 12 % is available,alert disk space on  label  has currently   is available
TIER 3 - Critical Device Down: US-WIT-891-TRI-R01.wescoaircraft.com is Down,tier   critical device down  is down
TIER 3 - Critical Device Down: wsip-174-71-149-66.ks.ks.cox.net is Down,tier   critical device down  is down
Alert: CPU Utilization on wdiprd-cml01.haasgroupintl.com is Critical,alert cpu utilization on  is critical
Critical ALERT:  A Distributed File System (DFS) component  on LON-DFS01 is in a current state of: Down,critical alert  a distributed file system dfs component  on  is in a current state of down
Critical ALERT:  A tcmIS Functional Testing-dev1 component  on infdev-ora01b is in a current state of: Down,critical alert  a tcmis functional  component  on  is in a current state of down
Alert: CPU Utilization on G-OPTIOPD is Warning	,alert cpu utilization on goptiopd is warning	
Critical ALERT:  A Distributed File System (DFS) component  on LON-DFS01 is in a current state of: Down,critical alert  a distributed file system dfs component  on  is in a current state of down
Warning Alert: Memory Utilization on GBVVSSQ10 is : 96 %,warning alert memory utilization on  is   
Alert: CPU Utilization on usauitadmust01 is Critical	,alert cpu utilization on  is critical	
Critical ALERT:  A Distributed File System (DFS) component  on LON-DFS01 is in a current state of: Down,critical alert  a distributed file system dfs component  on  is in a current state of down
Critical ALERT:  A Microsoft IIS component  on AUS-GHS01 is in a current state of: Down,critical alert  a microsoft iis component  on  is in a current state of down
Alert: CPU Utilization on aus-esx17.haasgroupintl.com is Warning	,alert cpu utilization on  is warning	
Alert: CPU Utilization on AUS-MCL01 is Warning	,alert cpu utilization on  is warning	
ALERT: DISK SPACE on TXAU-SQL1902-G:\ Label:Backups 941DA743 has currently 11 % is available,alert disk space on  labelbackups  has currently   is available
Critical ALERT:  A Windows Server 2019 Services and Counters component  on TXAU-MLEINPROD1 is in a current state of: Critical,critical alert  a windows server  services and counters component  on  is in a current state of critical
Alert: CPU Utilization on AUS-BI01 is Critical	,alert cpu utilization on  is critical	
Critical Alert: Memory Utilization on GBVVSMS4 is : 99 %,critical alert memory utilization on  is   
Alert: Memory Utilization on tcmpoc-haasr01.tcmis.com is warning,alert memory utilization on  is warning
NODE ALERT: AUS-ORIONHA01 is Down,node alert  is down
Warning Alert: Memory Utilization on GBVVSMS4 is : 95 %,warning alert memory utilization on  is   
ALERT: DISK SPACE on XA6516-C:\ Label: 88E6AF70 has currently 20 % is available,alert disk space on  label  has currently   is available
Warning Alert: Memory Utilization on GBVFSMO0 is : 94 %,warning alert memory utilization on  is   
Warning Alert: Memory Utilization on gbdvssq0 is : 95 %,warning alert memory utilization on  is   
Alert: CPU Utilization on AUS-BIPRD-PUB02 is Critical	,alert cpu utilization on  is critical	
Alert: CPU Utilization on aus-esx17.haasgroupintl.com is Critical	,alert cpu utilization on  is critical	
ALERT:  A Microsoft IIS component  on AUS-ORIONHA01 is in a current state of: Down,alert  a microsoft iis component  on  is in a current state of down
Critical Alert: Memory Utilization on AUS-BIPRD-PUB01 is : 98 %,critical alert memory utilization on  is   
Critical ALERT:  A Microsoft IIS component  on G-MOVEITT1 is in a current state of: Down,critical alert  a microsoft iis component  on  is in a current state of down
Warning Alert: Memory Utilization on GBVVSMS4 is : 94 %,warning alert memory utilization on  is   
ALERT: DISK SPACE on XA6526-C:\ Label: 88E6AF70 has currently 20 % is available,alert disk space on  label  has currently   is available
Alert: Memory Utilization on tcmprd-haasr07.tcmis.com is warning,alert memory utilization on  is warning
Warning Alert: Memory Utilization on GBVVSSQ10 is : 96 %,warning alert memory utilization on  is   
ALERT:  A Microsoft IIS component  on AUS-ORIONHA01 is in a current state of: Down,alert  a microsoft iis component  on  is in a current state of down
ALERT: DISK SPACE on XA6507-C:\ Label: 88E6AF70 has currently 20 % is available,alert disk space on  label  has currently   is available
Warning Alert: Memory Utilization on GBVVSCL3 is : 94 %,warning alert memory utilization on  is   
Alert: CPU Utilization on ITMADC is Critical	,alert cpu utilization on itmadc is critical	
Warning Alert: Memory Utilization on gbdvssq0 is : 94 %,warning alert memory utilization on  is   
TIER 3 - Critical Device Down: CA-QUE-BOM8-C1111-R01.wescoaircraft.com is Down,tier   critical device down  is down
Alert: CPU Utilization on aus-esx17.haasgroupintl.com is Warning	,alert cpu utilization on  is warning	
Alert: CPU Utilization on AUS-MCL01 is Warning	,alert cpu utilization on  is warning	
GROUP ALERT: Group is Down - Network Team Tickets: Tier3 - BOM: Mirabel (Plant 8) - AMER - Retorno El Marques #4F Parque Industrial El Marques Bombardier Plant ,group alert group is down  network team tickets   bom mirabel plant   amer  retorno el marques  parque industrial el marques bombardier plant 
Alert: CPU Utilization on aus-esx17.haasgroupintl.com is Critical	,alert cpu utilization on  is critical	
Alert: Memory Utilization on tcmprd-ws07.tcmis.com is warning,alert memory utilization on  is warning
Alert: CPU Utilization on ADAVIIS01 is Critical	,alert cpu utilization on  is critical	
TIER 2 - Non-Critical Device Down: MX-MEX-891-GUL-R01.wescoaircraft.com is Down,tier   noncritical device down  is down
Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB03 is in a current state of: Critical,critical alert  a jde_webserver_services component  on  is in a current state of critical
Alert: CPU Utilization on GBVVSML0 is Critical	,alert cpu utilization on  is critical	
Alert: CPU Utilization in GJDEWEB03 is Critical	,alert cpu utilization in  is critical	
"GROUP ALERT: Group is Down - Network Team Tickets: Tier2  - Mexicali - AMER - Gulfstream Boulevard Lazaro Cardenas 2365, Mexicali, Baja California, Mexico",group alert group is down  network team tickets    mexicali  amer  gulfstream boulevard lazaro cardenas  mexicali baja california mexico
Warning Alert: Memory Utilization on AUS-ORIONAPP02 is : 96 %,warning alert memory utilization on  is   
Warning Alert: Memory Utilization on gbdvssq0 is : 94 %,warning alert memory utilization on  is   
Warning Alert: Memory Utilization on GBVFSMO0 is : 94 %,warning alert memory utilization on  is   
Alert: CPU Utilization on GBVVSDV0 is Critical	,alert cpu utilization on  is critical	
Warning ALERT:  SQL Components component  on GBDVSMS0 shows Warning,warning alert  sql components component  on  shows warning
Alert: CPU Utilization on AUS-MCL01 is Warning	,alert cpu utilization on  is warning	
Alert: CPU Utilization in GJDEWEB02 is Critical	,alert cpu utilization in  is critical	
ALERT: DISK SPACE on XA6520-C:\ Label: 88E6AF70 has currently 20 % is available,alert disk space on  label  has currently   is available
Alert: CPU Utilization on GJDEWEB03 is Critical,alert cpu utilization on  is critical
Warning Alert: Memory Utilization on USAZSCCMCAS01 is : 97 %,warning alert memory utilization on  is   
Warning Alert: Memory Utilization on GBVVSML0 is : 97 %,warning alert memory utilization on  is   
ALERT:  A M5 Monitoring Tomcat component  on tcmprd-ws07.tcmis.com is Down,alert  a  monitoring tomcat component  on  is down
Critical ALERT:  A TCMIS services 2.0 component  on tcmprd-ws07.tcmis.com is Down,critical alert  a tcmis services  component  on  is down
ALERT: DISK SPACE on XA6530-C:\ Label: 88E6AF70 has currently 20 % is available,alert disk space on  label  has currently   is available
