resolver,summary,Cleaned_Column,topic_percent,topic,top_words
Network Support,TIER 3 - Critical Device Down: US-THR-891-AAX-R01.wescoaircraft.com is Down,tier   critical device down  is down,66.3343138444355,1,device-tier
Citrix Support,ALERT: DISK SPACE on XA6525-C:\ Label: 88E6AF70 has currently 20 % is available,alert disk space on  label  has currently   is available,73.05062371521308,7,available-space
Windows Support,ALERT: DISK SPACE on GBVVSDV1-E:\ Label:DATA 301C627F has currently 13 % is available,alert disk space on  labeldata  has currently   is available,45.16557862128413,7,available-space
Network Support,TIER 3 - Critical Device Down: US-SLC-891-NOC-R01.wescoaircraft.com is Down,tier   critical device down  is down,66.3343138444355,1,device-tier
Network Support,"GROUP ALERT: Group is Down - Network Team Tickets: Tier3 - NG: Salt Lake City - AMER - 2211 West North Temple, Salt Lake City, UT 84116, USA",group alert group is down  network team tickets   ng salt lake city  amer   west north temple salt lake city ut  usa,44.76171543940776,1,device-tier
Windows Support,Warning Alert: Memory Utilization on USAZSCCMCAS01 is : 94 %,warning alert memory utilization on  is   ,69.06970673210922,6,memory-warning
Linux Support,ALERT:  A ADC _sabrix _URL _monitoring component  on ws1.tcmis.com is Down,alert  a adc _sabrix _url _monitoring component  on  is down,71.95831619248958,2,group-network
Network Support,TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down,tier   critical device down  is down,66.3343138444355,1,device-tier
JDE CNC Technical,Alert: CPU Utilization in GJDEWEB04 is Critical	,alert cpu utilization in  is critical	,69.22142522263883,8,cpu-utilization
Windows Support,Critical ALERT:  A Baseline Services_Windows component  on VALJDELOG03 is in a current state of: Down,critical alert  a baseline services_windows component  on  is in a current state of down,74.14507933174015,9,component-current
Windows Support,Critical ALERT:  A Baseline Services_Windows component  on CAMI-RODC01 is in a current state of: Down,critical alert  a baseline services_windows component  on  is in a current state of down,74.14507933174015,9,component-current
Windows Support,Critical ALERT:  A Baseline Services_Windows component  on DC03PAPRC01 is in a current state of: Down,critical alert  a baseline services_windows component  on  is in a current state of down,74.14507933174015,9,component-current
Windows Support,Critical ALERT:  A Baseline Services_Windows component  on CAV-CMDR01 is in a current state of: Down,critical alert  a baseline services_windows component  on  is in a current state of down,74.14507933174015,9,component-current
Windows Support,Critical ALERT:  A Baseline Services_Windows component  on G-TRAXPRODWEB3 is in a current state of: Down,critical alert  a baseline services_windows component  on  is in a current state of down,74.14507933174015,9,component-current
Windows Support,Critical ALERT:  A Baseline Services_Windows component  on ALFO-RODC01 is in a current state of: Down,critical alert  a baseline services_windows component  on  is in a current state of down,74.14507933174015,9,component-current
Windows Support,Critical ALERT:  A Baseline Services_Windows component  on AUS-ORIONHA01 is in a current state of: Down,critical alert  a baseline services_windows component  on  is in a current state of down,74.14507933174015,9,component-current
Windows Support,Critical ALERT:  A Baseline Services_Windows component  on G-SCCM01 is in a current state of: Down,critical alert  a baseline services_windows component  on  is in a current state of down,74.14507933174015,9,component-current
Windows Support,Critical ALERT:  A Baseline Services_Windows component  on AUS-AP-FB01 is in a current state of: Down,critical alert  a baseline services_windows component  on  is in a current state of down,74.14507933174015,9,component-current
Windows Support,Critical ALERT:  A Baseline Services_Windows component  on TXAU-FBRDP01 is in a current state of: Down,critical alert  a baseline services_windows component  on  is in a current state of down,74.14507933174015,9,component-current
Windows Support,Critical ALERT:  A Baseline Services_Windows component  on txfw-dc03 is in a current state of: Down,critical alert  a baseline services_windows component  on  is in a current state of down,74.14507933174015,9,component-current
Windows Support,Critical ALERT:  A Baseline Services_Windows component  on TXAU-SQL19-N2 is in a current state of: Down,critical alert  a baseline services_windows component  on  is in a current state of down,74.14507933174015,9,component-current
Windows Support,Critical ALERT:  A Baseline Services_Windows component  on GJDEOHS02 is in a current state of: Down,critical alert  a baseline services_windows component  on  is in a current state of down,74.14507933174015,9,component-current
Windows Support,Critical ALERT:  A Baseline Services_Windows component  on VALSIGVM02 is in a current state of: Down,critical alert  a baseline services_windows component  on  is in a current state of down,74.14507933174015,9,component-current
Windows Support,Critical ALERT:  A Baseline Services_Windows component  on AUS-DRSC is in a current state of: Down,critical alert  a baseline services_windows component  on ausdrsc is in a current state of down,74.14507933174015,9,component-current
Windows Support,Critical ALERT:  A Baseline Services_Windows component  on TXAU-FB01 is in a current state of: Down,critical alert  a baseline services_windows component  on  is in a current state of down,74.14507933174015,9,component-current
Windows Support,Critical ALERT:  A Baseline Services_Windows component  on AUSTX-Datamatic is in a current state of: Down,critical alert  a baseline services_windows component  on austxdatamatic is in a current state of down,50.33358108779724,9,component-current
Windows Support,Critical ALERT:  A Baseline Services_Windows component  on SHARESCANSERVER is in a current state of: Down,critical alert  a baseline services_windows component  on sharescanserver is in a current state of down,74.14507933174015,9,component-current
Windows Support,Critical ALERT:  A Baseline Services_Windows component  on ITMAFILE is in a current state of: Down,critical alert  a baseline services_windows component  on itmafile is in a current state of down,73.5444282585625,9,component-current
Windows Support,Warning Alert: Memory Utilization on VALDC01 is : 94 %,warning alert memory utilization on  is   ,69.06970673210922,6,memory-warning
JDE CNC Technical,Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB07 is in a current state of: Critical,critical alert  a jde_webserver_services component  on  is in a current state of critical,72.46666090069512,0,component-jde_webserver_services
Windows Support,Alert: CPU Utilization on GJDEWEB04 is Critical,alert cpu utilization on  is critical,69.22142522263883,8,cpu-utilization
JDE CNC Technical,Alert: CPU Utilization in GJDEWEB07 is Critical	,alert cpu utilization in  is critical	,69.22142522263883,8,cpu-utilization
Linux Support,Alert: CPU Utilization on tcmqa03-ws01.tcmis.com is Critical,alert cpu utilization on  is critical,69.22142522263883,8,cpu-utilization
